in TJ,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Oil,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07881789664850586,0.10522825978848258,0.16532918050501358,0.1554054054054054,0.14420668604885278,0.14093141188176012,0.12820430452939288,0.12028068156388862,0.11424185597518614,0.06595183056353868,0.04571388595236615,0.037996718710283685,0.043536895102380256,0.03542866772888834,0.031248548289691695,0.03409026558695283,0.02202821003973468,0.013195259091460701,0.011940617850853371,0.010333101159503422,0.009564209082351118,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588,0.009450593174096588
Natural gas,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06773980518408453,0.1084524085800484,0.16242114128621143,0.19424282940184,0.23564657845355927,0.2615784574894887,0.25368615483456475,0.26679134298775614,0.2731897990995482,0.2744986255154317,0.27833312604937505,0.2434470487648948,0.25356439130011316,0.194064836377007,0.1973706622895988,0.19427568297832754,0.22530038468236002,0.1701144775696776,0.12419559242252176,0.10080714549104765,0.06319269603708089,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086,0.05500363044158086
Coal,1.2147145963117756,1,1,1.0353137927999296,1.075079142325642,1.0716730238658807,0.9158170371608446,0.94086414017389,1.1591044050960915,0.823821306761185,0.990625980545968,0.9008151821179158,0.8738343660306237,1.0716286373917425,1.0747512201659648,0.9837272250692743,0.912807570977918,0.7194143044092038,0.8078634331945709,1.1352490768410355,0.9136218794596602,1.0065745519331506,0.9893016344725112,0.8162732486821602,1.1345722957618904,0.8238786489669881,0.6857669788755647,0.5800462175434092,0.4820269836170896,0.5126674339055657,0.5200307008173697,0.7114675746595027,0.5226043156520117,0.42876289215648516,0.6624186164992171,0.5485276994729746,0.48672943216835196,0.5151157240743287,0.48458895977457295,0.40704664050807005,0.3122253493309633,0.42160855492276805,0.33473050907898094,0.21525977097080734,0.21115545055874743,0.20705113014668752,0.20294680973462761,0.1988424893225677,0.19473816891050777,0.20255933041182417,0.21038049191314057,0.21820165341445696,0.22602281491577336,0.2338439764170897,0.24458086037871518,0.25531774434034066,0.26605462830196613,0.2767915122635916,0.2875283962252171
"Waste, fossil",0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006901106158164107,0.007973344826442992,0.009757027761445438,0.010990672651450036,0.011379651926004075,0.013937477934332573,0.01607773851590106,0.017007128928103323,0.017747920969133017,0.01878982881419468,0.018212486785647658,0.02263011546134471,0.022214230593453357,0.021938963108224047,0.023823533966149987,0.023063917225534532,0.021284174199369944,0.02266898588244812,0.021626425714708932,0.021092309583316263,0.021910275112205065,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306,0.022772310889675306
Excess heat,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006796406193017936,0.0009772918686138346,0.0011062299048164772,0.0010952814309529754,0.0010912475527168855,0.001116286540314809,0.00047153224001790224,0.00037980392622308733,0.0005310508559290266,0.0003109259374417014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.94546234645394e-06,7.958488523859548e-06,8.05353993347776e-06,2.4071637192284237e-05,3.2123353678123996e-05,3.196828745884083e-05,3.95629089815716e-05,3.90478570536049e-05,5.4412039052297746e-05,6.162046415614625e-05,5.993721576648461e-05,6.894227233729623e-05,6.968209479861874e-05,0.00011325669630216887,0.00017413604774493819,0.0004368755309251244,0.0030777333399167202,0.0152661121809317,0.01801903714636274,0.018303686690703546,0.022793373394148848,0.02728306009759415,0.031772746801039455,0.036262433504484756,0.04075212020793006,0.04222061200503747,0.04368910380214488,0.04515759559925229,0.0466260873963597,0.04809457919346712,0.05319155796696874,0.05828853674047036,0.06338551551397198,0.06848249428747359,0.0735794730609752
"-- Onshore, less than 1MW",0.0,0,0,0.0,0.0,0.0,0.0,0.00029202893741288907,0.0005128481969337076,0.0005082592121982211,0.0008759543980755151,0.0012720994833718424,0.0014782148092486974,0.0021680788477539876,0.005048192367401186,0.006697407696669484,0.011041009463722398,0.01588920832174101,0.02247133549489102,0.02665175493708505,0.032058867150530655,0.03590901181707593,0.03366805932758875,0.03501176094223152,0.03409177342564332,0.05452299200744602,0.08019690311438978,0.08397131446812527,0.10833203464285242,0.10227007126650163,0.11126289343796318,0.10027097372320877,0.11288216532638522,0.1066226814882802,0.09438480618154899,0.11919109955987782,0.11091908410336497,0.10328650138715932,0.09568943713421363,0.11625520830096876,0.11489070034575513,0.10524971574954578,0.1150572699697231,0.1322131386268964,0.11505036395231799,0.18455572062627126,0.17892979322917724,0.16004534748125274,0.15091675698871704,0.11132315398438256,0.10330992512511139,0.0996651042771516,0.0950337369081713,0.0877606068944974,0.07574453158184584,0.06248522369219675,0.06001981731387375,0.04621425747927443,0.03429420158894451
"-- Onshore, between 1 and 3 MW",0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015255548580726626,0.0001484325190879229,0.00013967278840252737,0.00011929414772904315,0.00011405545534165498,0.00016300862537780317,0.0002273728640631216,0.0008821302135036718,0.002989321427182739,0.013710678791675673,0.018787229642591236,0.02217978050237011,0.028372725081279734,0.03258067305825367,0.03175186140739137,0.029435443337989687,0.036681289654111666,0.03583074521801475,0.039680550656227415,0.04197119063350293,0.054558405335133384,0.059311275290047205,0.05628728922031957,0.0654017782931604,0.07594313447943703,0.07193900974213394,0.07648947326447889,0.08116915600956036,0.08597805797737833,0.0909161791679328,0.09444561001024282,0.09800220677354327,0.10158596945783416,0.1051968980631155,0.10883499258938724,0.10772268285339733,0.10636561758474807,0.10476379678343944,0.10291722044947148,0.10082588858284418
"-- Onshore, more than 3 MW",0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7378594416481312e-05,0.0022984726769008958,0.0052298723915759435,0.01633898018223787,0.02497134664111141,0.04238249468712927,0.05724703564905285,0.07637603091526506,0.07896133577432349,0.08158465642028119,0.08424599285313818,0.08694534507289443,0.08824575907537986,0.08955416518493282,0.09087056340155332,0.09219495372524138,0.09352733615599695,0.09083894512458594,0.08807854797848896,0.08524614471770602,0.08234173534223709,0.0793653198520822
-- Offshore,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000840325133265913,0.0006645907201248758,0.000680504076772728,0.0005317414195810951,0.0005721275548711122,0.0028357971376445847,0.00547852465755708,0.027696111266734474,0.03875300640113275,0.045023363549058545,0.04092468016661491,0.04188468885930341,0.04634699782057026,0.05272932010038731,0.08257093802361817,0.10862946409569864,0.1137102662231387,0.14162701938914576,0.1728629001293697,0.16276831199693725,0.17469680925245817,0.1079462773069531,0.11615979442285919,0.1374645948799599,0.148846305072036,0.1856893751580884,0.19091691307101946,0.1917408849445812,0.19351624531110545,0.19789821029426524,0.19498110658729326,0.1936239971046641,0.1817897477580541,0.18161241351506582,0.1798663369751535
